Ma_San_Pham,Trong_Luong,Muc_Beo,Ti_Le_Hien_Thi,Loai_Hang,Gia_Niem_Yet,Ma_Cua_Hang,Nam_Mo_Cua,Quy_Mo,Loai_Do_Thi,Kieu_Cua_Hang,Doanh_So
FDH02,7.27,BeoThuong,0.020898691,Do_Hop,92.2488,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,814.9392
FDB14,20.25,BeoThuong,0.171938781,Do_Hop,92.512,OUT010,1998,,Do_Thi_3,Tap_Hoa,186.424
FDZ02,6.905,BeoThuong,0.038363204,Sua_Bo,98.1726,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,587.2356
FDP03,5.15,BeoThuong,0.061301149,Thit_Tuoi,122.1388,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2352.9372
FDZ26,11.6,BeoThuong,0.144017405,Sua_Bo,238.3222,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,5736.5328
FDW56,7.68,BeoThap,0.118672537,Rau_Cu_Qua,192.2162,OUT010,1998,,Do_Thi_3,Tap_Hoa,384.8324
FDA22,7.435,BeoThap,0.084436394,Thuc_Pham_Bot,168.6158,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,4512.1266
NCV06,11.3,BeoThap,0.066681333,Do_Gia_Dung,194.4478,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,387.4956
FDE57,9.6,BeoThap,0.036490369,Rau_Cu_Qua,140.8154,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1843.6002
FDZ45,14.1,BeoThap,0.066979957,Do_An_Vat,196.7084,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3174.5344
FDU49,19.5,BeoThuong,0.030688557,Do_Hop,85.754,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2163.85
FDA23,9.8,BeoThap,0.047260402,Do_Nuong,102.8016,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1922.8304
DRD13,15.0,BeoThap,0.049279392,Nuoc_Giai_Khat,65.7168,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,575.2512
DRE49,20.75,BeoThap,0.021232318,Nuoc_Giai_Khat,151.1024,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2428.8384
NCE42,,BeoThap,0.01055095,Do_Gia_Dung,234.9958,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,13086.9648
NCS53,14.5,BeoThap,0.089703476,Y_Te_Ve_Sinh,158.3604,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1109.2228
NCM19,12.65,BeoThap,0.047197936,Khac,114.1202,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,3488.1262
FDE11,17.7,BeoThuong,0.0,Thuc_Pham_Bot,184.3924,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,4257.1252
FDT60,12.0,BeoThap,0.07554831,Do_Nuong,121.9388,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,3219.8088
FDD53,16.2,BeoThap,0.044291251,Do_Dong_Lanh,43.3454,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,503.3448
DRD25,6.135,BeoThap,0.078957122,Nuoc_Giai_Khat,111.986,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1697.79
FDR45,10.8,BeoThap,0.029107004,Do_An_Vat,240.5222,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,4541.4218
FDB17,,BeoThap,0.036494521,Do_Dong_Lanh,179.0976,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,5976.2208
FDN27,20.85,BeoThap,0.039624006,Thit_Tuoi,117.2808,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1523.3504
FDC53,8.68,BeoThap,0.008828341,Do_Dong_Lanh,99.9384,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,689.7688
FDS01,11.6,BeoThap,0.0,Do_Hop,178.2686,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1955.4546
NCX06,17.6,BeoThap,0.015687045,Do_Gia_Dung,182.6976,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,3440.8544
FDE34,9.195,BeoThap,0.108501676,Do_An_Vat,183.6634,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2362.9242
NCH29,5.51,BeoThap,0.0,Y_Te_Ve_Sinh,98.9726,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1565.9616
NCM55,15.6,BeoThap,0.111685868,Khac,184.7924,OUT010,1998,,Do_Thi_3,Tap_Hoa,370.1848
FDY52,6.365,BeoThap,0.007359711,Do_Dong_Lanh,60.1536,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,490.0288
FDW47,15.0,BeoThap,0.046469277,Banh_Mi,123.8414,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1340.2554
DRB48,16.75,BeoThuong,0.024848788,Nuoc_Giai_Khat,39.9822,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,746.3618
FDG52,13.65,BeoThap,0.065732883,Do_Dong_Lanh,45.7402,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,780.9834
FDD21,10.3,BeoThuong,0.030563449,Rau_Cu_Qua,114.4176,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2633.9048
FDX59,,BeoThap,0.0514111,Banh_Mi,33.0558,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,984.7182
NCS53,,BeoThap,0.089343433,Y_Te_Ve_Sinh,157.3604,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,6021.4952
FDW40,14.0,BeoThuong,0.105573769,Do_Dong_Lanh,143.9812,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1139.8496
DRD60,15.7,BeoThap,0.03723211,Nuoc_Giai_Khat,183.1634,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,5634.6654
FDI57,19.85,BeoThap,0.054015429,Hai_San,196.3768,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,4138.6128
DRK13,11.8,BeoThap,0.115819014,Nuoc_Giai_Khat,198.3084,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,4563.3932
FDM25,10.695,BeoThuong,0.10154201,Do_An_Sang,173.7712,OUT010,1998,,Do_Thi_3,Tap_Hoa,175.7712
FDE22,9.695,BeoThap,0.029693277,Do_An_Vat,159.792,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2716.464
FDT36,,BeoThap,0.110735739,Do_Nuong,35.2874,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,988.0472
FDJ55,12.8,BeoThuong,0.023526504,Thit_Tuoi,223.5404,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,5626.01
NCU17,5.32,BeoThap,0.092865746,Y_Te_Ve_Sinh,100.6674,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2648.5524
FDH45,15.1,beothuong,0.105646853,Rau_Cu_Qua,42.8796,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,949.4308
FDU03,18.7,BeoThuong,0.091950972,Thit_Tuoi,184.2292,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1277.0044
FDI34,10.65,BeoThuong,0.085308611,Do_An_Vat,230.2668,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,5759.17
FDO37,8.06,BeoThap,0.021409913,Do_An_Sang,229.7326,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,6930.978
FDS24,20.85,BeoThuong,0.062224479,Do_Nuong,88.1514,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1682.4766
FDN25,7.895,BeoThuong,0.061124626,Do_An_Sang,58.5588,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,171.7764
FDS16,15.15,BeoThuong,0.066446521,Do_Dong_Lanh,147.976,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,732.38
FDU02,13.35,BeoThap,0.1027194,Sua_Bo,228.8352,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,5267.8096
FDR04,7.075,BeoThap,0.022612742,Do_Dong_Lanh,97.0068,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1944.136
FDM10,18.25,BeoThap,0.076089711,Do_An_Vat,212.9218,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3846.9924
DRE01,10.1,BeoThap,0.167155198,Nuoc_Giai_Khat,241.7512,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,5331.7264
FDE33,,BeoThuong,0.049395242,Rau_Cu_Qua,80.3644,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1885.5456
FDB39,11.6,BeoThap,0.038578846,Sua_Bo,56.1272,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,671.1264
FDC15,18.1,BeoThap,0.17824575,Sua_Bo,158.1288,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3299.7048
NCV29,,BeoThap,0.039996021,Y_Te_Ve_Sinh,176.7686,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,888.843
FDR49,8.71,BeoThap,0.139228412,Do_Hop,49.5376,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1198.44
FDX33,9.195,BeoThuong,0.117484834,Do_An_Vat,158.5578,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,2406.867
DRL35,15.7,BeoThap,0.030877303,Do_Uong_Con,42.177,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,735.709
FDC15,18.1,BeoThap,0.178694026,Sua_Bo,158.9288,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1571.288
FDU21,,BeoThuong,0.076348933,Do_An_Vat,32.8558,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,713.0718
NCV53,8.27,BeoThap,0.01889024,Y_Te_Ve_Sinh,238.188,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,3835.008
NCW29,14.0,BeoThap,0.028980533,Y_Te_Ve_Sinh,129.531,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2077.296
FDN10,11.5,BeoThap,0.046217345,Do_An_Vat,120.3124,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,474.0496
DRI03,,BeoThap,0.0,Sua_Bo,175.3028,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3719.1588
FDS19,13.8,BeoThuong,0.064195136,Rau_Cu_Qua,75.8012,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1138.518
DRK13,,BeoThap,0.114609875,Nuoc_Giai_Khat,197.0084,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3372.9428
FDI22,12.6,BeoThap,0.096407554,Do_An_Vat,210.8612,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3344.9792
NCP54,15.35,BeoThap,0.035204319,Do_Gia_Dung,122.873,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,2832.979
FDV58,20.85,BeoThap,0.121227447,Do_An_Vat,197.5452,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,4306.3944
FDV50,14.3,BeoThap,0.122761775,Sua_Bo,124.373,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,2093.941
FDC33,8.96,BeoThuong,0.069078149,Rau_Cu_Qua,197.7768,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3153.2288
FDT39,6.26,beothuong,0.009883257,Thit_Tuoi,149.8366,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1964.7758
FDR25,,BeoThuong,0.138846289,Do_Hop,263.7884,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1324.942
FDO40,17.1,BeoThap,0.032761024,Do_Dong_Lanh,148.8392,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2087.9488
DRD37,9.8,BThap,0.02316823,Nuoc_Giai_Khat,47.506,OUT010,1998,,Do_Thi_3,Tap_Hoa,186.424
FDH58,12.3,BeoThap,0.0,Do_An_Vat,116.4834,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1842.9344
DRK01,7.63,BeoThap,0.061409711,Nuoc_Giai_Khat,94.6436,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1607.2412
NCX05,,BeoThap,0.096592065,Y_Te_Ve_Sinh,117.4492,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1621.8888
FDZ12,,BeoThap,0.0,Do_Nuong,144.847,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,143.147
DRG27,8.895,BeoThap,0.105274111,Sua_Bo,39.9138,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,690.4346
FDG34,11.5,BeoThuong,0.037563325,Do_An_Vat,109.5254,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1627.881
NCX18,14.15,BeoThap,0.008829806,Do_Gia_Dung,196.811,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,4517.453
FDY11,6.71,BeoThuong,0.029727657,Do_Nuong,66.6142,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1120.5414
FDC44,15.6,BeoThap,0.172453254,Rau_Cu_Qua,115.1518,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,683.1108
FDQ39,14.8,BeoThap,0.081372267,Thit_Tuoi,191.4846,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,3057.3536
NCZ42,10.5,BeoThap,0.011351778,Do_Gia_Dung,236.5248,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,4029.4216
NCZ53,9.6,BeoThap,0.040969757,Y_Te_Ve_Sinh,188.7214,OUT010,1998,,Do_Thi_3,Tap_Hoa,376.8428
NCH54,13.5,BeoThap,0.12163321,Do_Gia_Dung,161.692,OUT010,1998,,Do_Thi_3,Tap_Hoa,159.792
FDT37,,BeoThap,0.061753511,Do_Hop,253.3014,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,510.0028
DRF25,9.0,BeoThap,0.038917891,Nuoc_Giai_Khat,35.919,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1171.808
FDO58,19.6,BeoThap,0.039577173,Do_An_Vat,166.1526,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,2960.1468
FDI07,12.35,BeoThuong,0.033813351,Thit_Tuoi,198.1426,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3757.1094
FDX21,7.05,BThap,0.084949955,Do_An_Vat,109.7912,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1091.912
FDA09,13.35,BeoThuong,0.149974858,Do_An_Vat,179.766,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,5932.278
FDV33,9.6,BeoThuong,0.027386122,Do_An_Vat,259.2304,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,4649.9472
FDJ48,11.3,BeoThap,0.056754036,Do_Nuong,247.5118,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2470.118
FDY15,18.25,BeoThuong,0.17179432,Sua_Bo,154.663,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2659.871
NCX41,19.0,BeoThap,0.017746826,Y_Te_Ve_Sinh,210.8244,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,2540.6928
DRJ51,14.1,BeoThap,0.08849163,Sua_Bo,231.1668,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,7602.1044
FDI56,7.325,BeoThap,0.093765794,Rau_Cu_Qua,90.3146,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1733.0774
FDN25,,BeoThuong,0.107110465,Do_An_Sang,55.5588,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,229.0352
FDD26,8.71,BeoThuong,0.120773451,Do_Hop,186.5924,OUT010,1998,,Do_Thi_3,Tap_Hoa,555.2772
NCC07,,BeoThap,0.023835164,Do_Gia_Dung,103.3964,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3050.6956
FDQ57,7.275,BeoThap,0.027991093,Do_An_Vat,145.976,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3515.424
FDE14,13.65,BeoThuong,0.031508924,Do_Hop,98.77,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1697.79
FDC41,,BeoThap,0.2047,Do_Dong_Lanh,76.867,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,229.701
FDW28,18.25,BeoThap,0.089186083,Do_Dong_Lanh,194.3452,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,4502.1396
FDT10,16.7,beothuong,0.062395455,Do_An_Vat,57.6562,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,533.3058
DRE27,11.85,BeoThap,0.132645493,Sua_Bo,96.9726,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1174.4712
FDD35,12.15,BThap,0.025842905,Thuc_Pham_Bot,119.844,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,599.22
FDK20,12.6,BeoThuong,0.041726942,Rau_Cu_Qua,122.0072,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1470.0864
FDU08,,BThap,0.027183141,Rau_Cu_Qua,99.7042,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3868.9638
DRH39,20.7,BeoThap,0.0,Sua_Bo,78.467,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1607.907
FDS20,8.85,BeoThap,0.054171606,Rau_Cu_Qua,183.9292,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2918.8672
FDV46,18.2,BeoThap,0.012659235,Do_An_Vat,140.718,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2656.542
FDQ46,7.51,BeoThap,0.10423592,Do_An_Vat,111.7544,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2460.7968
FDQ31,,BeoThuong,0.053586458,Rau_Cu_Qua,89.7856,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,966.7416
FDK48,7.445,BeoThap,0.037690731,Do_Nuong,73.3354,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,451.4124
FDZ10,,BeoThap,0.044248175,Do_An_Vat,126.202,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3668.558
FDR22,,BeoThuong,0.018472714,Do_An_Vat,109.9544,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,5257.1568
FDB52,17.75,beothap,0.030497325,Sua_Bo,256.9672,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1534.0032
FDV27,7.97,BeoThuong,0.04021623,Thit_Tuoi,90.4514,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1328.271
FDR51,9.035,BeoThuong,0.173821519,Thit_Tuoi,151.4708,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2407.5328
NCG55,16.25,BeoThap,0.0,Do_Gia_Dung,115.2176,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3206.4928
FDV31,9.8,BeoThap,0.178622919,Rau_Cu_Qua,177.937,OUT010,1998,,Do_Thi_3,Tap_Hoa,176.437
FDH09,12.6,BeoThap,0.056191301,Hai_San,53.2982,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,736.3748
FDR44,,BeoThuong,0.102422487,Rau_Cu_Qua,131.4968,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1565.9616
FDD47,7.6,BeoThuong,0.142632186,Thuc_Pham_Bot,172.3448,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,4431.5648
NCF30,17.0,BeoThap,0.126958147,Do_Gia_Dung,125.8362,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2516.724
FDA40,16.0,BeoThuong,0.099252438,Do_Dong_Lanh,87.4856,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1054.6272
DRN11,7.85,BeoThap,0.163902159,Do_Uong_Con,143.3444,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1596.5884
FDS21,19.85,BeoThuong,0.020908608,Do_An_Vat,63.5194,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,557.2746
FDD41,6.765,BeoThuong,0.087187488,Do_Dong_Lanh,105.5306,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1567.959
FDV35,19.5,BeoThap,0.128181759,Banh_Mi,156.1314,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2792.3652
FDT07,5.82,BeoThuong,0.077254736,Rau_Cu_Qua,257.633,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1537.998
FDS40,,BeoThap,0.024546148,Do_Dong_Lanh,34.619,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,36.619
FDQ58,7.315,BeoThap,0.01532563,Do_An_Vat,153.434,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,459.402
DRL37,15.5,BeoThap,0.0,Nuoc_Giai_Khat,41.377,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,649.155
FDP49,9.0,BeoThuong,0.0,Do_An_Sang,55.2614,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,552.614
DRC01,5.92,BeoThuong,0.019184026,Nuoc_Giai_Khat,50.3692,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,591.2304
FDP08,20.5,BeoThuong,0.113045883,Rau_Cu_Qua,194.1478,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2906.217
DRK11,8.21,beothap,0.010808272,Do_Uong_Con,150.5392,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1043.9744
NCM06,7.475,BeoThap,0.076036381,Do_Gia_Dung,153.9656,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2625.9152
FDM45,8.655,BeoThuong,0.088178053,Do_An_Vat,122.6756,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2302.3364
DRM23,16.6,BeoThap,0.135620265,Do_Uong_Con,172.9422,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2931.5174
FDI58,7.64,BeoThuong,0.071104408,Do_An_Vat,95.012,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1864.24
FDY07,11.8,BeoThap,0.122289654,Rau_Cu_Qua,46.3402,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,275.6412
FDX36,9.695,BeoThuong,0.128176489,Do_Nuong,224.8404,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,3600.6464
FDL44,18.25,BeoThap,0.012264903,Rau_Cu_Qua,162.8894,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,3397.5774
FDC37,,BeoThap,0.057556998,Do_Nuong,107.6938,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,214.3876
FDF22,6.865,BeoThap,0.09512291,Do_An_Vat,212.3218,OUT010,1998,,Do_Thi_3,Tap_Hoa,427.4436
FDA56,9.21,BeoThap,0.008757492,Rau_Cu_Qua,120.8414,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2071.3038
FDR40,9.1,BeoThuong,0.008046878,Do_Dong_Lanh,78.7618,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,402.809
FDH44,19.1,BeoThuong,0.025872153,Rau_Cu_Qua,145.7418,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,882.8508
FDA32,14.0,BeoThap,0.030155224,Rau_Cu_Qua,214.7192,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3020.0688
NCX29,10.0,BeoThap,0.089152528,Y_Te_Ve_Sinh,147.7102,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,437.4306
NCO17,10.0,BeoThap,0.073678663,Y_Te_Ve_Sinh,120.944,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2037.348
FDV07,,BeoThap,0.031131455,Rau_Cu_Qua,111.0228,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3205.1612
FDU31,10.5,beothuong,0.02502991,Rau_Cu_Qua,218.4508,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,2821.6604
NCT30,9.1,BeoThap,0.080619969,Do_Gia_Dung,47.4718,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,472.718
FDI34,10.65,BeoThuong,0.085617517,Do_An_Vat,229.3668,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2303.668
